,geometry,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,ORIGEM,OBJECTID,UF,CEG,lat,long
498,POINT (-41.404982974999946 -8.755465930715683),3.15,182.5,120.0,125.0,1615889408000,33022,Ventos de Santa Angela 18,VSA18-07,235409.0,9031337.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),"Enel Green Power Brasil Participações Ltda., Enel Green Power Desenvolvimento Ltda.",,499,PI,EOLCVPI033022-1-01,-8.755465930715683,-41.404982974999946
499,POINT (-35.37899840599994 -5.33451151682504),0.8,99.0,75.0,48.0,1666625847000,28424,RN 15 - Rio do Fogo,1.52,236341.0,9409850.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energias Renováveis do Brasil S.A.,,500,RN,EOLCVRN028424-6-01,-5.33451151682504,-35.37899840599994
500,POINT (-39.297959307999974 -3.268099260892428),2.7,180.0,119.0,122.0,1666625847000,32010,Estrela,AG ES-07,466898.0,9638768.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica Estrela S.A.,,501,CE,EOLCVCE032010-2-01,-3.268099260892428,-39.297959307999974
501,POINT (-35.89265752299997 -5.107496243832392),1.6,130.0,80.0,100.0,1666625847000,30571,União dos Ventos 10,UV10-01,179253.0,9434730.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Pontal do Nordeste Geradora Eólica S.A.,,502,RN,EOLCVRN030571-5-01,-5.107496243832392,-35.89265752299997
502,POINT (-39.290221566999946 -3.223441205893877),2.308,130.5,80.0,101.0,1666625847000,30662,Trairí,UG2,467756.22,9643704.53,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica Trairí S.A.,,503,CE,EOLCVCE030662-2-01,-3.223441205893877,-39.290221566999946
503,POINT (-50.33301800199996 -30.01343061518217),2.3,154.0,108.0,92.0,1666625847000,30734,Índios 2,DI2-05,564314.72609,6679541.227059,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Ventos dos Índios Energia S.A.,,504,RS,EOLCVRS030734-3-01,-30.01343061518217,-50.33301800199996
504,POINT (-51.69788133299995 -26.57827263724432),0.5,64.15,44.0,40.3,1666625847000,27908,de Palmas,UG4,430552.0,7060128.0,Versão Válida,SAD69,Sim,UTM 22 S (MER -51),Copel Geração e Transmissão S.A,,505,PR,EOLCVPR027908-0-01,-26.57827263724432,-51.69788133299995
505,POINT (-42.60332673399995 -14.148172276552176),1.6,121.25,80.0,82.5,1666625847000,30341,Rio Verde,RVE_1,758763.0,8434607.0,Versão Válida,SAD69,Sim,UTM 23 S (MER -45),Centrais Eólicas Rio Verde S.A.,,506,BA,EOLCVBA030341-0-01,-14.148172276552176,-42.60332673399995
506,POINT (-39.96609585599998 -2.8512479109060953),1.5,100.0,65.0,70.0,1666625847000,28441,Volta do Rio,9,392624.81608591,9684803.79238939,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Central Eólica Volta do Rio S.A.,,507,CE,EOLCVCE028441-6-01,-2.8512479109060953,-39.96609585599998
507,POINT (-35.80055853299995 -5.279830067826821),2.1,150.0,93.0,114.0,1666625847000,31427,Santa Mônica,MON-01,189559.0,9415705.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Mônica Enerqias Renováveis S.A.,,508,RN,EOLCVRN031427-7-01,-5.279830067826821,-35.80055853299995
508,POINT (-35.83264224599998 -5.365116021824028),1.62,130.0,80.0,100.0,1666625847000,30889,Morro dos Ventos II,6,186043.0,9406250.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Desa Morro dos Ventos II S.A.,,509,RN,EOLCVRN030889-7-01,-5.365116021824028,-35.83264224599998
509,POINT (-41.72716693699994 -2.8280654869068256),2.0,138.5,90.0,97.0,1666625847000,30838,Delta do Parnaíba,14,196787.0,9687055.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Porto do Parnaíba Energia S.A.,,510,PI,EOLCVPI030838-2-01,-2.8280654869068256,-41.72716693699994
