,geometry,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,ORIGEM,OBJECTID,UF,CEG,lat,long
0,POINT (-42.642494529999965 -14.47096759254284),1.85,121.25,80.0,82.5,1666625847000,30739,Caititu,CAI-083,754125.0,8398879.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Caititu S.A.,,1,BA,EOLCVBA030739-4-01,-14.47096759254284,-42.642494529999965
1,POINT (-35.92446856499998 -5.115753964832131),2.0,145.0,95.0,100.0,1666625847000,30512,Dreen Boa Vista,BV07,175728.0,9433802.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),GE Boa Vista S.A.,,2,RN,EOLCVRN030512-0-01,-5.115753964832131,-35.92446856499998
2,POINT (-35.84437289899995 -5.267423835827237),2.0,145.0,95.0,100.0,1666625847000,30497,Renascença V,15,184692.0,9417056.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Renascença V Energias Renováveis S.A.,,3,RN,EOLCVRN030497-2-01,-5.267423835827237,-35.84437289899995
3,POINT (-35.92329442299995 -5.442081616821537),2.7,150.0,89.0,122.0,1666625847000,30864,SM,1,176028.0,9397684.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Maria Energias Renováveis S.A.,,4,RN,EOLCVRN030864-1-01,-5.442081616821537,-35.92329442299995
4,POINT (-38.87982615699997 -3.540330373883488),2.1,143.7,96.2,95.0,1666625847000,30295,Colônia,AEG-08,513347.87,9608681.26,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Geradora Eólica Colônia S.A.,,5,CE,EOLCVCE030295-3-01,-3.540330373883488,-38.87982615699997
5,POINT (-34.97216664199994 -6.576232240784979),0.8,99.6,75.6,48.0,1666625847000,29086,Coelhos I,14,281977.0,9272712.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,,6,PB,EOLCVPB029086-6-01,-6.576232240784979,-34.97216664199994
6,POINT (-41.042959578999955 -2.9054439279042983),2.1,124.0,80.0,88.0,1666625847000,28631,Praia Formosa,AEG 34,272911.0,9678652.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,7,CE,EOLCVCE028631-1-01,-2.9054439279042983,-41.042959578999955
7,POINT (-55.66896247999995 -30.801034310169573),2.0,147.2,97.2,100.0,1666625847000,30756,Cerro Chato VI,8,627337.46,6591690.658,Versão Válida,SIRGAS2000,Sim,UTM 21 S (MER -57),Eólica Cerro Chato VI S.A.,,8,RS,EOLCVRS030756-4-01,-30.801034310169573,-55.66896247999995
8,POINT (-35.82686507699998 -5.369410412823925),1.6,121.0,80.0,82.0,1666625847000,30301,Morro dos Ventos I,AG_09_MV1,186686.02,9405777.69,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Desa Morro dos Ventos I S.A,,9,RN,EOLCVRN030301-1-01,-5.369410412823925,-35.82686507699998
9,POINT (-49.60738827199998 -28.48168539220851),1.5,138.5,100.0,77.0,1666625847000,29051,Púlpito,AEG 12,636318.77498204,6848646.86974571,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Púlpito Energia Eólica S.A.,,10,SC,EOLCVSC029051-3-01,-28.48168539220851,-49.60738827199998
10,POINT (-39.26075033999996 -3.344375172889903),2.1,137.5,90.0,95.0,1666625847000,30332,Faísa III,4,471034.0,9630338.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Faísa III Geração e Comercialização de Energia Ltda.,,11,CE,EOLCVCE030332-1-01,-3.344375172889903,-39.26075033999996
11,POINT (-35.848333631999935 -5.391417572823197),2.3,130.5,80.0,101.0,1666625847000,30672,Costa Branca,CBR-09,184316.0,9403331.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),SPE Costa Branca Energia S.A.,,12,RN,EOLCVRN030672-0-01,-5.391417572823197,-35.848333631999935
12,POINT (-51.68682705499998 -26.59479752224402),0.6,86.6,64.6,44.0,1666625847000,28793,Água Doce,AEG 2,431694.58,7058321.0,Versão Válida,SAD69,Sim,UTM 22 S (MER -51),CENAEEL - Central Nacional de Energia Eólica S.A.,,13,SC,EOLCVSC028793-8-01,-26.59479752224402,-51.68682705499998
13,POINT (-37.75282865899994 -4.445955001853909),2.1,121.5,77.5,88.0,1666625847000,28887,Bons Ventos,NBV-21,638374.997,9508461.737,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),BVP Geradora de Energia S.A.,,14,CE,EOLCVCE028887-0-01,-4.445955001853909,-37.75282865899994
14,POINT (-35.99512647199998 -5.333263000825108),1.6,121.25,80.0,82.5,1666625847000,30498,Asa Branca IV,AB-IV05,168001.0,9409690.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Asa Branca IV Energias Renováveis Ltda.,,15,RN,EOLCVRN030498-0-01,-5.333263000825108,-35.99512647199998
15,POINT (-50.32058845599994 -29.97226911418287),2.3,154.0,108.0,92.0,1666625847000,30894,Índios 3,DI3-03,565542.515701,6684093.777042,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Ventos dos índios Energia S.A.,,16,RS,EOLCVRS030894-3-01,-29.97226911418287,-50.32058845599994
16,POINT (-51.748808372999974 -26.581554611244268),1.5,138.5,100.0,77.0,1666625847000,29052,Aquibatã,AEG 2,425432.5479,7059692.0153,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Aquibatã Energia Eólica S.A.,,17,SC,EOLCVSC029052-1-01,-26.581554611244268,-51.748808372999974
17,POINT (-42.485578990999954 -14.155444484551982),1.7,131.5,80.0,103.0,1666625847000,31344,Caetité A,11,771428.0,8433625.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Eólica Caetité A S.A.,,18,BA,EOLCVBA031344-0-01,-14.155444484551982,-42.485578990999954
18,POINT (-42.61520855899993 -14.201958208550606),1.6,121.25,80.0,82.5,1666625847000,30328,Guanambi,GUA_2,757419.0,8428667.0,Versão Válida,SAD69,Sim,UTM 23 S (MER -45),Centrais Eólicas Guanambi Ltda.,,19,BA,EOLCVBA030328-3-01,-14.201958208550606,-42.61520855899993
19,POINT (-35.93321725399994 -5.415317523822402),2.7,150.0,89.0,122.0,1666625847000,30864,SM,10,174913.0,9400641.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Maria Energias Renováveis S.A.,,20,RN,EOLCVRN030864-1-01,-5.415317523822402,-35.93321725399994
20,POINT (-53.29601915999996 -33.6598235161291),1.79,130.0,80.0,100.0,1666625847000,31559,Verace 26,AGV26-02,287104.0,6273196.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo I S.A.,,21,RS,EOLCVRS031559-1-01,-33.6598235161291,-53.29601915999996
21,POINT (-40.948978703999956 -10.026417056676015),2.0,135.0,80.0,110.0,1666625847000,32523,Delfina VI,3,286379.0,8891034.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina D Eólica S.A.,,22,BA,EOLCVBA032523-6-01,-10.026417056676015,-40.948978703999956
22,POINT (-35.76283818199994 -5.094696021832805),1.6,130.0,80.0,100.0,1666625847000,30567,União dos Ventos 6,UV6-07,193653.023,9436209.906,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Canto da Ilha Geradora Eólica S.A,,23,RN,EOLCVRN030567-7-01,-5.094696021832805,-35.76283818199994
23,POINT (-41.03229992299998 -2.908492107904201),2.1,124.0,80.0,88.0,1666625847000,28631,Praia Formosa,AEG 14,274097.0,9678317.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,24,CE,EOLCVCE028631-1-01,-2.908492107904201,-41.03229992299998
24,POINT (-52.220297848999955 -32.23617018214819),2.0,126.5,78.0,97.0,1666625847000,30469,REB Cassino I,11,385029.0,6432733.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),EOL Vento Energias Renováveis S.A,,25,RS,EOLCVRS030469-7-01,-32.23617018214819,-52.220297848999955
25,POINT (-41.04246399299995 -2.919856647903816),2.1,124.0,80.0,88.0,1666625847000,28631,Praia Formosa,AEG 38,272969.0,9677058.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,26,CE,EOLCVCE028631-1-01,-2.919856647903816,-41.04246399299995
26,POINT (-39.24238066699997 -3.245913087893128),2.0,126.5,78.0,97.0,1666625847000,30911,São Jorge,SC 03,473072.0,9641222.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica São Jorge S.A.,,27,CE,EOLCVCE030911-7-01,-3.245913087893128,-39.24238066699997
27,POINT (-36.35780204799993 -5.168302786830438),2.0,149.38,108.38,82.0,1666625847000,30281,Mangue Seco 3,MS3-07,792927.0,9428121.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Mangue Seco 3 – Geradora e Comercializadora de Energia Elétrica S.A.,,28,RN,EOLCVRN030281-3-01,-5.168302786830438,-36.35780204799993
28,POINT (-37.02600759599994 -4.983029482836428),3.0,178.0,120.0,116.0,1666625847000,30898,Terral,AEG-05,718874.2,9448884.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Usina de Energia Eólica Terral S.A.,,29,RN,EOLCVRN030898-6-01,-4.983029482836428,-37.02600759599994
29,POINT (-36.48304234499994 -5.127445499831767),1.67,123.0,80.0,86.0,1666625847000,30339,Miassaba 3,WT05,779050.0,9432700.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Brasventos Miassaba 3 Geradora de Energia S.A,,30,RN,EOLCVRN030339-9-01,-5.127445499831767,-36.48304234499994
30,POINT (-53.360617757999925 -33.68506513712881),2.0,126.5,78.0,97.0,1666625847000,30767,Chuí I,UG8,281176.85,6270261.47,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí I S.A.,,31,RS,EOLCVRS030767-0-01,-33.68506513712881,-53.360617757999925
31,POINT (-35.87436466799994 -5.318985835825558),2.0,145.0,95.0,100.0,1666625847000,30515,Renascença I,UG2,181390.213,9411328.003,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energisa Geração - Central Eólica Renascença I S.A.,,32,RN,EOLCVRN030515-4-01,-5.318985835825558,-35.87436466799994
32,POINT (-35.89674240599994 -5.306539084825935),2.0,145.0,95.0,100.0,1666625847000,30516,Renascença II,UG14,178905.597,9412700.574,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Energisa Geração - Central Eólica Renascença II S.A.,,33,RN,EOLCVRN030516-2-01,-5.306539084825935,-35.89674240599994
33,POINT (-35.44779591699995 -5.511691059819324),2.7,150.0,89.0,122.0,1666625847000,30874,Riachão IV,AEG 8,228791.0,9390217.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Central Eólica Anemoi Ltda.,,34,RN,EOLCVRN030874-9-01,-5.511691059819324,-35.44779591699995
34,POINT (-35.01281714399994 -6.567918566785224),1.5,123.5,85.0,77.0,1666625847000,29075,Vitória,2,277439.18,9273568.52,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Cardus Energia Ltda.,,35,PB,EOLCVPB029075-0-01,-6.567918566785224,-35.01281714399994
35,POINT (-35.916167679999944 -5.4355477798217935),2.7,150.0,89.0,122.0,1666625847000,30864,SM,5,176815.0,9398411.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Maria Energias Renováveis S.A.,,36,RN,EOLCVRN030864-1-01,-5.4355477798217935,-35.916167679999944
36,POINT (-42.505683629999965 -14.210191906550385),2.0,123.0,78.0,90.0,1666625847000,30448,Caetité 3,C3-31,769191.833,8427588.256,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Caetité 3 Energia Renovável S.A.,,37,BA,EOLCVBA030448-4-01,-14.210191906550385,-42.505683629999965
37,POINT (-36.197914964999946 -5.096801842832773),1.67,123.0,80.0,86.0,1666625847000,30416,Rei dos Ventos 1,RDV 14,810700.0,9435960.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Brasventos Eolo Geradora de Energia S.A.,,38,RN,EOLCVRN030416-6-01,-5.096801842832773,-36.197914964999946
38,POINT (-36.922823456999936 -10.797232702652279),1.5,141.45,100.0,82.9,1666625847000,30296,Barra dos Coqueiros,WT 20,727119.0,8805669.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Energen Energias Renováveis S.A.,,39,SE,EOLCVSE030296-1-01,-10.797232702652279,-36.922823456999936
39,POINT (-38.07291819499995 -4.20243812686184),0.8,99.0,75.0,48.0,1666625847000,28174,Beberibe,WEC - 26,602928.1729,9535475.6734,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Beberibe S.A.,,40,CE,EOLCVCE028174-3-01,-4.20243812686184,-38.07291819499995
40,POINT (-37.68815782499996 -4.593860764849077),2.1,153.7,120.0,110.0,1666625847000,30924,Santa Catarina,SC-01,645522.0,9492096.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Energia dos Ventos III S.A.,,41,CE,EOLCVCE030924-9-01,-4.593860764849077,-37.68815782499996
41,POINT (-42.60066056299996 -14.331175193546887),1.85,121.25,80.0,82.5,1666625847000,30731,Teiu,TEI-029,758798.0,8414305.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Teiu S.A.,,42,BA,EOLCVBA030731-9-01,-14.331175193546887,-42.60066056299996
42,POINT (-41.024256528999956 -9.799324703683068),3.465,150.0,84.0,132.0,1666625847000,35229,Serra do Vento,SEV - 06,277972.0,8916107.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Serra do Vento Energética S.A.,,43,BA,EOLCVBA035229-2-01,-9.799324703683068,-41.024256528999956
43,POINT (-41.568061427999965 -10.690159716655574),2.5,148.0,90.0,116.0,1666625847000,33634,Umburanas 17,UMB_17_08,219078.0,8817111.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Centrais Eólicas Umburanas 14 Ltda.,,44,BA,EOLCVBA033634-3-01,-10.690159716655574,-41.568061427999965
44,POINT (-40.88780379899999 -9.970325324677777),2.0,135.0,80.0,110.0,1666625847000,32524,Delfina VII,14,293051.0,8897278.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina E Eólica S.A.,,45,BA,EOLCVBA032524-4-01,-9.970325324677777,-40.88780379899999
45,POINT (-42.554344511999936 -14.259564688548927),2.7,150.0,89.0,122.0,1666625847000,31424,Vaqueta,VAQ_01,763880.0,8422179.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Vaqueta S.A.,,46,BA,EOLCVBA031424-2-01,-14.259564688548927,-42.554344511999936
46,POINT (-39.39025422399993 -3.307674411891084),4.2,200.0,125.0,150.0,1611050970000,40881,Serrote IV,SIV-1,456646.0,9634390.0,Versão Válida,SIRGAS2000,Não,UTM 24 S (MER -39),Serrote IV Geração de Energia Elétrica S.A.,,47,CE,EOLCVCE040881-6-01,-3.307674411891084,-39.39025422399993
47,POINT (-42.69089774799994 -13.836767025561246),2.7,150.0,89.0,122.0,1673359590000,32106,Juazeiro,JUA - 07,749597.0,8469123.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Juazeiro S.A.,,48,BA,EOLCVBA032106-0-01,-13.836767025561246,-42.69089774799994
48,POINT (-50.78737903499995 -30.25110072617829),2.7,150.0,89.0,122.0,1666625847000,31509,Pontal 2A,AERO 08,520455.0,6653371.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Enerplan Energia Eólica IV S.A.,,49,RS,EOLCVRS031509-5-01,-30.25110072617829,-50.78737903499995
49,POINT (-42.60434392499997 -14.369077073545771),1.85,121.25,80.0,82.5,1666625847000,30753,Tamanduá Mirim,TAM-53,758357.0,8410114.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Tamanduá Mirim S.A.,,50,BA,EOLCVBA030753-0-01,-14.369077073545771,-42.60434392499997
50,POINT (-42.639501938999956 -13.963214348557532),1.68,122.0,80.0,82.5,1666625847000,30490,Da Prata,DPT-02,755016.694944,8455073.894,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas da Prata S.A.,,51,BA,EOLCVBA030490-5-01,-13.963214348557532,-42.639501938999956
51,POINT (-35.829331870999965 -5.079507994833331),1.6,130.0,80.0,100.0,1666625847000,30563,União dos Ventos 2,UV2-03,186268.012,9437860.741,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Torres de Pedra Geradora Eólica S.A.,,52,RN,EOLCVRN030563-4-01,-5.079507994833331,-35.829331870999965
52,POINT (-36.40560682399996 -5.158342234830762),2.0,149.38,108.38,82.0,1666625847000,30290,Mangue Seco 5,MS5-04,787628.0,9429245.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Mangue Seco 4 – Geradora e Comercializadora de Energia Elétrica S.A.,,53,RN,EOLCVRN030290-2-01,-5.158342234830762,-36.40560682399996
53,POINT (-36.32336198099995 -5.172441737830321),2.0,149.38,108.38,82.0,1666625847000,30284,Mangue Seco 2,MS2-04,796746.0,9427647.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Mangue Seco 2 – Geradora e Comercializadora de Energia Elétrica S.A.,,54,RN,EOLCVRN030284-8-01,-5.172441737830321,-36.32336198099995
54,POINT (-36.511903465999985 -6.0248180688027),2.0,126.5,78.0,97.0,1666625847000,30615,Serra de Santana III,1,775429.0,9333424.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Gestamp Eólica Seridó S.A.,,55,RN,EOLCVRN030615-0-01,-6.0248180688027,-36.511903465999985
55,POINT (-42.62810989199994 -13.92615774955863),2.35,153.5,99.5,108.0,1666625847000,30807,Emiliana,6,756289.0,8459163.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Enel Green Power Emiliana Eólica S.A.,,56,BA,EOLCVBA030807-2-01,-13.92615774955863,-42.62810989199994
56,POINT (-35.845666182999935 -5.395523136823049),2.3,130.5,80.0,101.0,1666625847000,30672,Costa Branca,CBR-07,184614.0,9402878.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),SPE Costa Branca Energia S.A.,,57,RN,EOLCVRN030672-0-01,-5.395523136823049,-35.845666182999935
57,POINT (-34.98105251699996 -6.587407751784601),0.8,99.6,75.6,48.0,1666625847000,29092,Mataraca,48,280999.0,9271472.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,,58,PB,EOLCVPB029092-0-01,-6.587407751784601,-34.98105251699996
58,POINT (-40.94893696599996 -10.04230893367553),2.0,135.0,80.0,110.0,1666625847000,32358,Delfina II,AEG 6,286394.0,8889276.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina A Eólica S.A.,,59,BA,EOLCVBA032358-6-01,-10.04230893367553,-40.94893696599996
59,POINT (-39.880972966999934 -2.9734357739020516),3.0,162.5,100.0,125.0,1666625847000,31482,Itarema V,5,402097.0,9671304.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Itarema V S.A.,,60,CE,EOLCVCE031482-0-01,-2.9734357739020516,-39.880972966999934
60,POINT (-41.05977879499995 -9.283493596699142),2.3499999,144.0,98.0,92.0,1666625847000,31519,Casa Nova II,CNII-07,273734.0,8973149.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Companhia Hidroelétrica do São Francisco,,61,BA,EOLCVBA031519-2-01,-9.283493596699142,-41.05977879499995
61,POINT (-39.258970544999954 -3.249934840893021),2.0,126.5,78.0,97.0,1666625847000,30911,São Jorge,SC 10,471229.0,9640777.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica São Jorge S.A.,,62,CE,EOLCVCE030911-7-01,-3.249934840893021,-39.258970544999954
62,POINT (-37.74466684199996 -4.46753501485321),2.1,124.0,80.0,88.0,1666625847000,28788,Canoa Quebrada,UGE 05,639276.64,9506074.25,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),BVP Geradora de Energia S.A.,,63,CE,EOLCVCE028788-1-01,-4.46753501485321,-37.74466684199996
63,POINT (-41.08857274199994 -9.865163378681036),2.42,130.0,80.0,100.0,1666625847000,30456,São Pedro do Lago,SPL-12,270960.0,8908780.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),São Pedro do Lago S.A.,,64,BA,EOLCVBA030456-5-01,-9.865163378681036,-41.08857274199994
64,POINT (-34.971367089999944 -6.572917383785066),0.8,99.6,75.6,48.0,1666625847000,29090,Coelhos II,31,282064.0,9273079.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,,65,PB,EOLCVPB029090-4-01,-6.572917383785066,-34.971367089999944
65,POINT (-41.03246647599997 -2.9060868079042614),2.1,124.0,80.0,88.0,1666625847000,28631,Praia Formosa,AEG 12,274078.0,9678583.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,66,CE,EOLCVCE028631-1-01,-2.9060868079042614,-41.03246647599997
66,POINT (-35.462429605999944 -5.55388433181792),2.7,150.0,89.0,122.0,1666625847000,30873,Riachão VII,AEG 4,227188.0,9385542.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Central Eólica Arena Ltda.,,67,RN,EOLCVRN030873-0-01,-5.55388433181792,-35.462429605999944
67,POINT (-36.49651381899997 -5.140151668831362),1.67,123.0,80.0,86.0,1666625847000,30339,Miassaba 3,WT14,777550.0,9431300.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Brasventos Miassaba 3 Geradora de Energia S.A,,68,RN,EOLCVRN030339-9-01,-5.140151668831362,-36.49651381899997
68,POINT (-36.306049875999975 -5.190766544829716),2.0,149.38,108.38,82.0,1666625847000,30285,Mangue Seco 1,MS1-08,798700.0,9425658.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Mangue Seco 1 – Geradora e Comercializadora de Energia Elétrica S.A.,,69,RN,EOLCVRN030285-6-01,-5.190766544829716,-36.306049875999975
69,POINT (-41.11908175499997 -9.87393943468075),2.0,130.0,80.0,100.0,1666625847000,30455,Sete Gamelerias,SG-03,267619.0,8907788.0000016,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Sete Gameleiras S.A.,,70,BA,EOLCVBA030455-7-01,-9.87393943468075,-41.11908175499997
70,POINT (-50.33906131599997 -29.992427408182543),2.3,154.0,108.0,92.0,1666625847000,30894,Índios 3,DI3-07,563742.690462,6681867.868127,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Ventos dos índios Energia S.A.,,71,RS,EOLCVRS030894-3-01,-29.992427408182543,-50.33906131599997
71,POINT (-35.78843204999998 -5.291369351826431),2.1,150.0,93.0,114.0,1666625847000,31412,Ventos de São Martinho,7,190910.0,9414434.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Ventos de São Martinho Energias Renováveis S.A.,,72,RN,EOLCVRN031412-9-01,-5.291369351826431,-35.78843204999998
72,POINT (-52.237413507999975 -32.21789943614847),2.0,126.5,78.0,97.0,1666625847000,30468,REB Cassino III,9,383393.0,6434740.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),EOL Brisa Energias Renováveis S.A.,,73,RS,EOLCVRS030468-9-01,-32.21789943614847,-52.237413507999975
73,POINT (-39.97496812599997 -2.876494318905252),1.5,123.5,85.0,77.0,1666625847000,30282,Coqueiros,16,391641.0,9682012.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Nova Eólica Coqueiro S.A.,,74,CE,EOLCVCE030282-1-01,-2.876494318905252,-39.97496812599997
74,POINT (-53.38040493799997 -33.67861507112886),2.0,126.5,78.0,97.0,1666625847000,30790,Chuí II,UG18,279325.73,6270934.72,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí II S.A.,,75,RS,EOLCVRS030790-4-01,-33.67861507112886,-53.38040493799997
75,POINT (-51.698647311999935 -26.617985585243584),1.5,138.5,100.0,77.0,1666625847000,29052,Aquibatã,AEG 13,430449.8474,7055685.2328,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Aquibatã Energia Eólica S.A.,,76,SC,EOLCVSC029052-1-01,-26.617985585243584,-51.698647311999935
76,POINT (-37.69811419399997 -4.539183896850847),2.1,124.0,80.0,88.0,1666625847000,28649,Canoa Quebrada,V4,644428.29356,9498143.39092,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Rosa dos Ventos Geração e Comercialização de Energia S.A.,,77,CE,EOLCVCE028649-4-01,-4.539183896850847,-37.69811419399997
77,POINT (-51.615918395999984 -26.598784196243912),1.5,138.5,100.0,77.0,1666625847000,29069,Amparo,AEG 11,438675.492,7057854.274,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Amparo Energia Eólica S.A.,,78,SC,EOLCVSC029069-6-01,-26.598784196243912,-51.615918395999984
78,POINT (-41.08284536799994 -21.5744065463541),1.65,111.0,70.0,82.0,1666625847000,28730,Gargaú,WTG1,284336.174,7612839.948,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Gargaú Energética S.A.,,79,RJ,EOLCVRJ028730-0-01,-21.5744065463541,-41.08284536799994
79,POINT (-37.06281553099996 -5.105904271832474),4.2,195.0,120.0,150.0,1666625847000,36979,Vila Piauí III,VPI-III-2,714751.0,9435306.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Vila Piauí 3 Empreendimentos e Participações S.A.,,80,RN,EOLCVRN036979-9-01,-5.105904271832474,-37.06281553099996
80,POINT (-41.73398915999997 -2.828401778906806),2.0,138.5,90.0,97.0,1666625847000,30830,Porto Salgado,B-05,196028.0,9687016.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Porto Salgado Energia S.A.,,81,PI,EOLCVPI030830-7-01,-2.828401778906806,-41.73398915999997
81,POINT (-35.93328308699996 -5.0665188668337375),2.1,175.0,120.0,110.0,1666625847000,32355,Paraíso dos Ventos do Nordeste,PV04,174725.0,9439247.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Usina de Energia Eólica Paraíso dos Ventos do Nordeste S.A.,,82,RN,EOLCVRN032355-1-01,-5.0665188668337375,-35.93328308699996
82,POINT (-53.410152314999955 -33.73559457112815),2.0,145.0,100.0,90.0,1666625847000,30844,Minuano I,UG9,276715.0,6264551.1,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí VI S.A.,,83,RS,EOLCVRS030844-7-01,-33.73559457112815,-53.410152314999955
83,POINT (-42.70480824599997 -13.906029313559229),2.7,150.0,89.0,122.0,1666625847000,31406,Taboquinha,TBQ - 02,748019.0,8461472.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Taboquinha S.A.,,84,BA,EOLCVBA031406-4-01,-13.906029313559229,-42.70480824599997
84,POINT (-42.608485617999975 -14.350859679546277),1.85,121.25,80.0,82.5,1666625847000,30732,Angical,ANG-020,757931.0,8412135.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Angical S.A.,,85,BA,EOLCVBA030732-7-01,-14.350859679546277,-42.608485617999975
