OBJECTID,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,OPERACAO,PROPRIETARIO,UF,LATITUDE,LONGITUDE
1,1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30739,Caititu,CAI-083,True,Central Eólica Caititu S.A.,BA,-14.47096759254284,-42.642494529999965
2,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30512,Dreen Boa Vista,BV07,True,GE Boa Vista S.A.,RN,-5.115753964832131,-35.92446856499998
3,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30497,Renascença V,15,True,Renascença V Energias Renováveis S.A.,RN,-5.267423835827237,-35.84437289899995
4,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30864,SM,True,True,Santa Maria Energias Renováveis S.A.,RN,-5.442081616821537,-35.92329442299995
5,2.1,143.7,96.2,95.0,2022-10-24 15:37:27,30295,Colônia,AEG-08,True,Central Geradora Eólica Colônia S.A.,CE,-3.540330373883488,-38.87982615699997
6,0.8,99.6,75.6,48.0,2022-10-24 15:37:27,29086,Coelhos I,14,True,Vale dos Ventos Geradora Eólica S.A,PB,-6.576232240784979,-34.97216664199994
7,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 34,True,CPFL Energias Renováveis S.A.,CE,-2.9054439279042983,-41.042959578999955
8,2.0,147.2,97.2,100.0,2022-10-24 15:37:27,30756,Cerro Chato VI,8,True,Eólica Cerro Chato VI S.A.,RS,-30.801034310169573,-55.66896247999995
9,1.6,121.0,80.0,82.0,2022-10-24 15:37:27,30301,Morro dos Ventos I,AG_09_MV1,True,Desa Morro dos Ventos I S.A,RN,-5.369410412823925,-35.82686507699998
10,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29051,Púlpito,AEG 12,True,Púlpito Energia Eólica S.A.,SC,-28.48168539220851,-49.60738827199998
11,2.1,137.5,90.0,95.0,2022-10-24 15:37:27,30332,Faísa III,4,True,Eólica Faísa III Geração e Comercialização de Energia Ltda.,CE,-3.344375172889903,-39.26075033999996
12,2.3,130.5,80.0,101.0,2022-10-24 15:37:27,30672,Costa Branca,CBR-09,True,SPE Costa Branca Energia S.A.,RN,-5.391417572823197,-35.848333631999935
13,0.6,86.6,64.6,44.0,2022-10-24 15:37:27,28793,Água Doce,AEG 2,True,CENAEEL - Central Nacional de Energia Eólica S.A.,SC,-26.59479752224402,-51.68682705499998
14,2.1,121.5,77.5,88.0,2022-10-24 15:37:27,28887,Bons Ventos,NBV-21,True,BVP Geradora de Energia S.A.,CE,-4.445955001853909,-37.75282865899994
15,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30498,Asa Branca IV,AB-IV05,True,Asa Branca IV Energias Renováveis Ltda.,RN,-5.333263000825108,-35.99512647199998
16,2.3,154.0,108.0,92.0,2022-10-24 15:37:27,30894,Índios 3,DI3-03,True,Ventos dos índios Energia S.A.,RS,-29.97226911418287,-50.32058845599994
17,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29052,Aquibatã,AEG 2,True,Aquibatã Energia Eólica S.A.,SC,-26.581554611244268,-51.748808372999974
18,1.7,131.5,80.0,103.0,2022-10-24 15:37:27,31344,Caetité A,11,True,Eólica Caetité A S.A.,BA,-14.155444484551982,-42.485578990999954
19,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30328,Guanambi,GUA_2,True,Centrais Eólicas Guanambi Ltda.,BA,-14.201958208550606,-42.61520855899993
20,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30864,SM,10,True,Santa Maria Energias Renováveis S.A.,RN,-5.415317523822402,-35.93321725399994
21,1.79,130.0,80.0,100.0,2022-10-24 15:37:27,31559,Verace 26,AGV26-02,True,Eólica Hermenegildo I S.A.,RS,-33.6598235161291,-53.29601915999996
22,2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32523,Delfina VI,3,True,Enel Green Power Delfina D Eólica S.A.,BA,-10.026417056676015,-40.948978703999956
23,1.6,130.0,80.0,100.0,2022-10-24 15:37:27,30567,União dos Ventos 6,UV6-07,True,Canto da Ilha Geradora Eólica S.A,RN,-5.094696021832805,-35.76283818199994
24,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 14,True,CPFL Energias Renováveis S.A.,CE,-2.908492107904201,-41.03229992299998
25,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30469,REB Cassino I,11,True,EOL Vento Energias Renováveis S.A,RS,-32.23617018214819,-52.220297848999955
26,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 38,True,CPFL Energias Renováveis S.A.,CE,-2.919856647903816,-41.04246399299995
27,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30911,São Jorge,SC 03,True,Central Eólica São Jorge S.A.,CE,-3.245913087893128,-39.24238066699997
28,2.0,149.38,108.38,82.0,2022-10-24 15:37:27,30281,Mangue Seco 3,MS3-07,True,Eólica Mangue Seco 3 – Geradora e Comercializadora de Energia Elétrica S.A.,RN,-5.168302786830438,-36.35780204799993
29,3.0,178.0,120.0,116.0,2022-10-24 15:37:27,30898,Terral,AEG-05,True,Usina de Energia Eólica Terral S.A.,RN,-4.983029482836428,-37.02600759599994
30,1.67,123.0,80.0,86.0,2022-10-24 15:37:27,30339,Miassaba 3,WT05,True,Brasventos Miassaba 3 Geradora de Energia S.A,RN,-5.127445499831767,-36.48304234499994
31,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30767,Chuí I,UG8,True,Eólica Chuí I S.A.,RS,-33.68506513712881,-53.360617757999925
32,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30515,Renascença I,UG2,True,Energisa Geração - Central Eólica Renascença I S.A.,RN,-5.318985835825558,-35.87436466799994
33,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30516,Renascença II,UG14,True,Energisa Geração - Central Eólica Renascença II S.A.,RN,-5.306539084825935,-35.89674240599994
34,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30874,Riachão IV,AEG 8,True,Central Eólica Anemoi Ltda.,RN,-5.511691059819324,-35.44779591699995
35,1.5,123.5,85.0,77.0,2022-10-24 15:37:27,29075,Vitória,2,True,Cardus Energia Ltda.,PB,-6.567918566785224,-35.01281714399994
36,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30864,SM,5,True,Santa Maria Energias Renováveis S.A.,RN,-5.4355477798217935,-35.916167679999944
37,2.0,123.0,78.0,90.0,2022-10-24 15:37:27,30448,Caetité 3,C3-31,True,Caetité 3 Energia Renovável S.A.,BA,-14.210191906550385,-42.505683629999965
38,1.67,123.0,80.0,86.0,2022-10-24 15:37:27,30416,Rei dos Ventos 1,RDV 14,True,Brasventos Eolo Geradora de Energia S.A.,RN,-5.096801842832773,-36.197914964999946
39,1.5,141.45,100.0,82.9,2022-10-24 15:37:27,30296,Barra dos Coqueiros,WT 20,True,Energen Energias Renováveis S.A.,SE,-10.797232702652279,-36.922823456999936
40,0.8,99.0,75.0,48.0,2022-10-24 15:37:27,28174,Beberibe,WEC - 26,True,Eólica Beberibe S.A.,CE,-4.20243812686184,-38.07291819499995
41,2.1,153.7,120.0,110.0,2022-10-24 15:37:27,30924,Santa Catarina,SC-01,True,Energia dos Ventos III S.A.,CE,-4.593860764849077,-37.68815782499996
42,1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30731,Teiu,TEI-029,True,Central Eólica Teiu S.A.,BA,-14.331175193546887,-42.60066056299996
43,3.465,150.0,84.0,132.0,2022-10-24 15:37:27,35229,Serra do Vento,SEV - 06,True,Serra do Vento Energética S.A.,BA,-9.799324703683068,-41.024256528999956
44,2.5,148.0,90.0,116.0,2022-10-24 15:37:27,33634,Umburanas 17,UMB_17_08,True,Centrais Eólicas Umburanas 14 Ltda.,BA,-10.690159716655574,-41.568061427999965
45,2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32524,Delfina VII,14,True,Enel Green Power Delfina E Eólica S.A.,BA,-9.970325324677777,-40.88780379899999
46,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,31424,Vaqueta,VAQ_01,True,Centrais Eólicas Vaqueta S.A.,BA,-14.259564688548927,-42.554344511999936
47,4.2,200.0,125.0,150.0,2021-01-19 10:09:30,40881,Serrote IV,SIV-1,False,Serrote IV Geração de Energia Elétrica S.A.,CE,-3.307674411891084,-39.39025422399993
48,2.7,150.0,89.0,122.0,2023-01-10 14:06:30,32106,Juazeiro,JUA - 07,True,Centrais Eólicas Juazeiro S.A.,BA,-13.836767025561246,-42.69089774799994
49,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,31509,Pontal 2A,AERO 08,True,Enerplan Energia Eólica IV S.A.,RS,-30.25110072617829,-50.78737903499995
50,1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30753,Tamanduá Mirim,TAM-53,True,Central Eólica Tamanduá Mirim S.A.,BA,-14.369077073545771,-42.60434392499997
51,1.68,122.0,80.0,82.5,2022-10-24 15:37:27,30490,Da Prata,DPT-02,True,Centrais Eólicas da Prata S.A.,BA,-13.963214348557532,-42.639501938999956
52,1.6,130.0,80.0,100.0,2022-10-24 15:37:27,30563,União dos Ventos 2,UV2-03,True,Torres de Pedra Geradora Eólica S.A.,RN,-5.079507994833331,-35.829331870999965
53,2.0,149.38,108.38,82.0,2022-10-24 15:37:27,30290,Mangue Seco 5,MS5-04,True,Eólica Mangue Seco 4 – Geradora e Comercializadora de Energia Elétrica S.A.,RN,-5.158342234830762,-36.40560682399996
54,2.0,149.38,108.38,82.0,2022-10-24 15:37:27,30284,Mangue Seco 2,MS2-04,True,Eólica Mangue Seco 2 – Geradora e Comercializadora de Energia Elétrica S.A.,RN,-5.172441737830321,-36.32336198099995
55,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30615,Serra de Santana III,True,True,Gestamp Eólica Seridó S.A.,RN,-6.0248180688027,-36.511903465999985
56,2.35,153.5,99.5,108.0,2022-10-24 15:37:27,30807,Emiliana,6,True,Enel Green Power Emiliana Eólica S.A.,BA,-13.92615774955863,-42.62810989199994
57,2.3,130.5,80.0,101.0,2022-10-24 15:37:27,30672,Costa Branca,CBR-07,True,SPE Costa Branca Energia S.A.,RN,-5.395523136823049,-35.845666182999935
58,0.8,99.6,75.6,48.0,2022-10-24 15:37:27,29092,Mataraca,48,True,Vale dos Ventos Geradora Eólica S.A,PB,-6.587407751784601,-34.98105251699996
59,2.0,135.0,80.0,110.0,2022-10-24 15:37:27,32358,Delfina II,AEG 6,True,Enel Green Power Delfina A Eólica S.A.,BA,-10.04230893367553,-40.94893696599996
60,3.0,162.5,100.0,125.0,2022-10-24 15:37:27,31482,Itarema V,5,True,Eólica Itarema V S.A.,CE,-2.9734357739020516,-39.880972966999934
61,2.3499999,144.0,98.0,92.0,2022-10-24 15:37:27,31519,Casa Nova II,CNII-07,True,Companhia Hidroelétrica do São Francisco,BA,-9.283493596699142,-41.05977879499995
62,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30911,São Jorge,SC 10,True,Central Eólica São Jorge S.A.,CE,-3.249934840893021,-39.258970544999954
63,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28788,Canoa Quebrada,UGE 05,True,BVP Geradora de Energia S.A.,CE,-4.46753501485321,-37.74466684199996
64,2.42,130.0,80.0,100.0,2022-10-24 15:37:27,30456,São Pedro do Lago,SPL-12,True,São Pedro do Lago S.A.,BA,-9.865163378681036,-41.08857274199994
65,0.8,99.6,75.6,48.0,2022-10-24 15:37:27,29090,Coelhos II,31,True,Vale dos Ventos Geradora Eólica S.A,PB,-6.572917383785066,-34.971367089999944
66,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 12,True,CPFL Energias Renováveis S.A.,CE,-2.9060868079042614,-41.03246647599997
67,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30873,Riachão VII,AEG 4,True,Central Eólica Arena Ltda.,RN,-5.55388433181792,-35.462429605999944
68,1.67,123.0,80.0,86.0,2022-10-24 15:37:27,30339,Miassaba 3,WT14,True,Brasventos Miassaba 3 Geradora de Energia S.A,RN,-5.140151668831362,-36.49651381899997
69,2.0,149.38,108.38,82.0,2022-10-24 15:37:27,30285,Mangue Seco 1,MS1-08,True,Eólica Mangue Seco 1 – Geradora e Comercializadora de Energia Elétrica S.A.,RN,-5.190766544829716,-36.306049875999975
70,2.0,130.0,80.0,100.0,2022-10-24 15:37:27,30455,Sete Gamelerias,SG-03,True,Sete Gameleiras S.A.,BA,-9.87393943468075,-41.11908175499997
71,2.3,154.0,108.0,92.0,2022-10-24 15:37:27,30894,Índios 3,DI3-07,True,Ventos dos índios Energia S.A.,RS,-29.992427408182543,-50.33906131599997
72,2.1,150.0,93.0,114.0,2022-10-24 15:37:27,31412,Ventos de São Martinho,7,True,Ventos de São Martinho Energias Renováveis S.A.,RN,-5.291369351826431,-35.78843204999998
73,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30468,REB Cassino III,9,True,EOL Brisa Energias Renováveis S.A.,RS,-32.21789943614847,-52.237413507999975
74,1.5,123.5,85.0,77.0,2022-10-24 15:37:27,30282,Coqueiros,16,True,Nova Eólica Coqueiro S.A.,CE,-2.876494318905252,-39.97496812599997
75,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30790,Chuí II,UG18,True,Eólica Chuí II S.A.,RS,-33.67861507112886,-53.38040493799997
76,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29052,Aquibatã,AEG 13,True,Aquibatã Energia Eólica S.A.,SC,-26.617985585243584,-51.698647311999935
77,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28649,Canoa Quebrada,V4,True,Rosa dos Ventos Geração e Comercialização de Energia S.A.,CE,-4.539183896850847,-37.69811419399997
78,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29069,Amparo,AEG 11,True,Amparo Energia Eólica S.A.,SC,-26.598784196243912,-51.615918395999984
79,1.65,111.0,70.0,82.0,2022-10-24 15:37:27,28730,Gargaú,WTG1,True,Gargaú Energética S.A.,RJ,-21.5744065463541,-41.08284536799994
80,4.2,195.0,120.0,150.0,2022-10-24 15:37:27,36979,Vila Piauí III,VPI-III-2,True,Vila Piauí 3 Empreendimentos e Participações S.A.,RN,-5.105904271832474,-37.06281553099996
81,2.0,138.5,90.0,97.0,2022-10-24 15:37:27,30830,Porto Salgado,B-05,True,Porto Salgado Energia S.A.,PI,-2.828401778906806,-41.73398915999997
82,2.1,175.0,120.0,110.0,2022-10-24 15:37:27,32355,Paraíso dos Ventos do Nordeste,PV04,True,Usina de Energia Eólica Paraíso dos Ventos do Nordeste S.A.,RN,-5.0665188668337375,-35.93328308699996
83,2.0,145.0,100.0,90.0,2022-10-24 15:37:27,30844,Minuano I,UG9,True,Eólica Chuí VI S.A.,RS,-33.73559457112815,-53.410152314999955
84,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,31406,Taboquinha,TBQ - 02,True,Centrais Eólicas Taboquinha S.A.,BA,-13.906029313559229,-42.70480824599997
85,1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30732,Angical,ANG-020,True,Central Eólica Angical S.A.,BA,-14.350859679546277,-42.608485617999975
86,3.15,182.5,120.0,125.0,2021-05-21 17:37:21,33020,Ventos de Santa Ângela 16,VSA16-08,True,Enel Green Power Ventos de Santa Ângela ACL 16 S.A.,PI,-8.76176142471551,-41.57026002199996
87,2.35,130.0,80.0,100.0,2022-10-24 15:37:27,30789,Tacaicó,AEG7,True,Enel Green Power Tacaicó Eólica S.A.,PE,-9.03179881670704,-38.048833068999954
88,1.5,123.5,85.0,77.0,2022-10-24 15:37:27,30369,Quixaba,AEG 12,True,Central Eólica Quixaba S.A,CE,-4.573841251849762,-37.68620266499994
89,1.5,141.45,100.0,82.9,2022-10-24 15:37:27,30296,Barra dos Coqueiros,WT 17,True,Energen Energias Renováveis S.A.,SE,-10.811702700651816,-36.92137086099996
90,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30872,Riachão VI,AEG 8,True,Central Eólica Apeliotes Ltda,RN,-5.540238286818385,-35.45114253899993
91,2.0,133.0,98.0,70.0,2022-10-24 15:37:27,28811,Sangradouro,SG-09,True,Ventos do Sul Energia S.A.,RS,-29.927733376183625,-50.31188707399996
92,2.35,130.0,80.0,100.0,2022-10-24 15:37:27,30801,Joana,AEG7,True,Enel Green Power Joana Eólica S.A.,BA,-13.907470758559196,-42.61398262399996
93,2.0,139.0,98.0,82.0,2022-10-24 15:37:27,30351,Eurus VI,EU-VI-03,True,Eurus VI Energias Renováveis Ltda.,RN,-5.233174268828334,-35.93307020199995
94,1.67,123.0,80.0,86.0,2022-10-24 15:37:27,30416,Rei dos Ventos 1,RDV 07,True,Brasventos Eolo Geradora de Energia S.A.,RN,-5.101916775832565,-36.21050903399998
95,1.5,100.0,65.0,70.0,2022-10-24 15:37:27,28441,Volta do Rio,24,True,Central Eólica Volta do Rio S.A.,CE,-2.8658339409055915,-39.945358729999946
96,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28699,Icaraizinho,AEG 12,True,CPFL Energias Renováveis S.A.,CE,-3.0103205049008306,-39.670809842999965
97,1.5,100.0,65.0,70.0,2022-10-24 15:37:27,28441,Volta do Rio,11,True,Central Eólica Volta do Rio S.A.,CE,-2.852594444906039,-39.97672196199995
98,2.1,121.5,77.5,88.0,2022-10-24 15:37:27,28887,Bons Ventos,NBV-10,True,BVP Geradora de Energia S.A.,CE,-4.438932944854164,-37.76115573699997
99,2.0,145.0,100.0,90.0,2022-10-24 15:37:27,30745,Verace I,UG10,True,Eólica Geribatu I S.A.,RS,-33.517975848130924,-53.242088975999934
100,2.7,180.0,119.0,122.0,2022-10-24 15:37:27,32010,Estrela,AG ES-06,True,Central Eólica Estrela S.A.,CE,-3.2658465488924677,-39.29807565799996
101,1.62,130.0,80.0,100.0,2022-10-24 15:37:27,30889,Morro dos Ventos II,14,True,Desa Morro dos Ventos II S.A.,RN,-5.35073879482449,-35.83689410299996
102,1.5,141.0,100.0,82.0,2022-10-24 15:37:27,37209,Casa Nova A,CNA-01,True,Companhia Hidro Elétrica do São Francisco - CHESF,BA,-9.260208549699874,-41.01681339899994
103,1.68,122.0,80.0,82.5,2022-10-24 15:37:27,30778,Dourados,DOU-05,True,Centrais Eólicas Dourados S.A.,BA,-14.149533882552118,-42.691182939999976
104,1.7,131.5,80.0,103.0,2022-10-24 15:37:27,31523,Caetité C,3,True,Eólica Caetité C S.A.,BA,-14.111460440553252,-42.47468589299996
105,1.79,130.0,80.0,100.0,2022-10-24 15:37:27,31561,Verace 24,AGV24-02,True,Eólica Hermenegildo I S.A.,RS,-33.649431291129254,-53.295807742999955
106,1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30753,Tamanduá Mirim,TAM-67,True,Central Eólica Tamanduá Mirim S.A.,BA,-14.39371064754507,-42.610180267999965
107,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,30336,Embuaca,AEG13,True,Embuaca Geração e Comercialização de Energia S.A,CE,-3.2305805838936186,-39.33088230799996
108,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30319,Pajeú do Vento,PVE_14,True,Centrais Eólicas Pajeú do Vento S.A.,BA,-14.001530636556451,-42.636917093999955
109,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30874,Riachão IV,AEG 6,True,Central Eólica Anemoi Ltda.,RN,-5.522083637818985,-35.46780918099995
110,2.35,130.0,80.0,100.0,2022-10-24 15:37:27,30789,Tacaicó,AEG8,True,Enel Green Power Tacaicó Eólica S.A.,PE,-9.03009241970708,-38.04646307599995
111,2.1,175.0,120.0,110.0,2022-10-24 15:37:27,31866,Santo Inácio IV,SIIV-01,True,Central Eólica Santo Inácio IV S.A.,CE,-4.7475727668440895,-37.30751910699996
112,2.35,130.0,80.0,100.0,2022-10-24 15:37:27,30801,Joana,AEG11,True,Enel Green Power Joana Eólica S.A.,BA,-13.896621052559471,-42.61875520599995
113,1.6,121.0,80.0,82.0,2022-10-24 15:37:27,30311,Morro dos Ventos IV,AG_05_MV4,True,Desa Morro dos Ventos IV S.A,RN,-5.388058495823276,-35.88237964999996
114,1.6,121.0,80.0,82.0,2022-10-24 15:37:27,30311,Morro dos Ventos IV,AG_17_MV4,True,Desa Morro dos Ventos IV S.A,RN,-5.366886330823969,-35.87531831699994
115,1.8,130.0,80.0,100.0,2022-10-24 15:37:27,30501,Cabeço Preto IV,AEG01,True,Gestamp Eólica Moxotó S.A,RN,-5.473283937820541,-35.974082530999965
116,1.6,121.0,80.0,82.0,2022-10-24 15:37:27,30300,Morro dos Ventos VI,AG_06_MV6,True,Desa Morro dos Ventos VI S.A,RN,-5.353273651824403,-35.88230265599997
117,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30515,Renascença I,UG9,True,Energisa Geração - Central Eólica Renascença I S.A.,RN,-5.298685437826201,-35.86617614299996
118,2.0,123.0,78.0,90.0,2022-10-24 15:37:27,30622,Arizona 1,11,True,Arizona 1 Energia Renovável S.A.,RN,-5.302283508826077,-35.38427333699996
119,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30497,Renascença V,3,True,Renascença V Energias Renováveis S.A.,RN,-5.259595538827489,-35.86879063799995
120,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28770,Enacel,EN-04,True,BVP Geradora de Energia S.A.,CE,-4.507309711851903,-37.76899987099995
121,1.68,121.25,80.0,82.5,2022-10-24 15:37:27,30779,Ametista,AEG-07,True,Centrais Eólicas Ametista S.A.,BA,-14.166452652551651,-42.696472462999964
122,2.7,180.0,119.0,122.0,2022-10-24 15:37:27,32013,Santa Mônica I,AG SM 2,True,Central Eólica Santa Mônica SPE S.A.,CE,-3.2616086178926293,-39.28054023499993
123,0.8,98.85,74.85,48.0,2022-10-24 15:37:27,29041,Millennium,04,True,SPE Millennium Central Geradora Eólica S.A.,PB,-6.491632247787715,-34.971858495999975
124,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,32091,Angelim,AGL - 08,True,Centrais Eólicas Angelim S.A.,BA,-14.049861830555004,-42.65539310799994
125,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 22,True,CPFL Energias Renováveis S.A.,CE,-2.9127320769040344,-41.03751422499994
126,1.8,130.0,80.0,100.0,2022-10-24 15:37:27,30501,Cabeço Preto IV,AEG09,True,Gestamp Eólica Moxotó S.A,RN,-5.450377410821312,-35.96271117399993
127,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 09,True,CPFL Energias Renováveis S.A.,CE,-2.9024698899044012,-41.03267582799998
128,2.1,150.0,93.0,114.0,2022-10-24 15:37:27,31372,Ventos de Santo Dimas,DIM-07,True,Ventos de Santo Dimas Energias Renováveis S.A.,RN,-5.225920097828571,-35.77663941399993
129,2.1,150.0,93.0,114.0,2022-10-24 15:37:27,31372,Ventos de Santo Dimas,DIM-02,True,Ventos de Santo Dimas Energias Renováveis S.A.,RN,-5.23189142882839,-35.78917655999993
130,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,31337,Maniçoba,Maniçoba 06,False,Enel Green Power Maniçoba Eólica S.A.,BA,-11.879858779619335,-41.455254641999936
131,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30322,Planaltina,PLA_17,True,Centrais Eólicas Planaltina S.A.,BA,-13.967958250557432,-42.63995219599997
132,1.7,130.0,80.0,100.0,2022-10-24 15:37:27,31422,Ventos de Santa Brígida VII,BR7-10,True,Ventos de Santa Brigida VII Energias Renováveis S.A,PE,-8.842433784712977,-36.74607944099995
133,0.6,86.6,64.6,44.0,2022-10-24 15:37:27,28793,Água Doce,AEG 15,True,CENAEEL - Central Nacional de Energia Eólica S.A.,SC,-26.57971980624431,-51.71719941099997
134,2.0,133.0,98.0,70.0,2022-10-24 15:37:27,28811,Sangradouro,SG-18,True,Ventos do Sul Energia S.A.,RS,-29.941716927183354,-50.297148264999976
135,2.1,136.5,89.0,95.0,2022-10-24 15:37:27,30340,Areia Branca,UG2,True,Eólica Bela Vista Geração e Comercialização de Energia S.A.,RN,-4.964853974837005,-36.90213821999998
136,2.3,149.0,108.0,82.0,2022-10-24 15:37:27,30449,Osório 3,OS3-08,True,Ventos do Litoral Energia S.A.,RS,-29.99283815918253,-50.25625043399997
137,0.8,99.0,75.0,48.0,2022-10-24 15:37:27,28424,RN 15 - Rio do Fogo,1.27,True,Energias Renováveis do Brasil S.A.,RN,-5.327026892825252,-35.39310938099993
138,2.0,145.0,100.0,90.0,2022-10-24 15:37:27,30844,Minuano I,UG6,True,Eólica Chuí VI S.A.,RS,-33.73232371412817,-53.40206582099995
139,1.62,130.0,80.0,100.0,2022-10-24 15:37:27,30889,Morro dos Ventos II,7,True,Desa Morro dos Ventos II S.A.,RN,-5.362889710824146,-35.831460008999954
140,1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30752,Corrupião,COR-012,True,Central Eólica Corrupião S.A.,BA,-14.298867263547818,-42.59086795999997
141,0.8,98.85,74.85,48.0,2022-10-24 15:37:27,29041,Millennium,06,True,SPE Millennium Central Geradora Eólica S.A.,PB,-6.494501924787598,-34.97090247999995
142,3.0,130.0,75.0,110.0,2022-10-24 15:37:27,31424,Vaqueta,VAQ_07,True,Centrais Eólicas Vaqueta S.A.,BA,-14.269008023548674,-42.557206925999935
143,1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30753,Tamanduá Mirim,TAM-56,True,Central Eólica Tamanduá Mirim S.A.,BA,-14.376760654545535,-42.60742252799997
144,2.3499999,144.0,98.0,92.0,2022-10-24 15:37:27,31524,Casa Nova III,CNIII-06,True,Companhia Hidroelétrica do São Francisco,BA,-9.325041194697812,-41.12238783699996
145,1.7,130.0,80.0,100.0,2022-10-24 15:37:27,31365,Ventos de Santa Brígida I,BR1-05,True,Ventos de Santa Brígida I Energias Renováveis S.A.,PE,-8.816324544713755,-36.76015895699993
146,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,31337,Maniçoba,Maniçoba 12,False,Enel Green Power Maniçoba Eólica S.A.,BA,-11.896350226618859,-41.46238465899995
147,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30625,Serra de Santana I,4,True,Gestamp Eólica Serra de Santana S.A.,RN,-6.0531317298018195,-36.58137597399997
148,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28699,Icaraizinho,AEG 18,True,CPFL Energias Renováveis S.A.,CE,-3.008416821900922,-39.67715255799993
149,1.5,141.45,100.0,82.9,2022-10-24 15:37:27,30296,Barra dos Coqueiros,WT 22,True,Energen Energias Renováveis S.A.,SE,-10.808369489651936,-36.91960773699998
150,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28788,Canoa Quebrada,UGE 07,True,BVP Geradora de Energia S.A.,CE,-4.463731130853355,-37.74637458099994
151,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30911,São Jorge,SC 11,True,Central Eólica São Jorge S.A.,CE,-3.2482906208930693,-39.24978908099996
152,2.0,149.38,108.0,82.0,2022-10-24 15:37:27,30349,Cerro Chato II,AEG 7,True,Eletrosul Centrais Elétricas S.A.,RS,-30.83930282316898,-55.698285761999955
153,2.3,139.0,98.0,82.0,2022-10-24 15:37:27,30334,Fazenda Rosário 3,True,True,Parques Eólicos Palmares S.A.,RS,-30.452542556175082,-50.42267236999999
154,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30324,Pindaí,PND_8,True,Centrais Eólicas Pindaí S.A.,BA,-14.20538489155048,-42.66028489699994
