OBJECTID,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,OPERACAO,PROPRIETARIO,UF,LATITUDE,LONGITUDE
1775,1.5,123.5,85.0,77.0,2022-10-24 15:37:27,30369,Quixaba,AEG 10,True,Central Eólica Quixaba S.A,CE,-4.571048916849813,-37.68750561199994
1776,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30514,Ventos de São Miguel,UG7,True,Energisa Geração - Central Eólica Ventos de São Miguel S.A.,RN,-5.289013933826534,-35.88449242499996
1777,2.0,126.5,78.0,97.0,2022-10-24 15:37:27,30790,Chuí II,UG13,True,Eólica Chuí II S.A.,RS,-33.662998672129056,-53.40065214699997
1778,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29052,Aquibatã,AEG 6,True,Aquibatã Energia Eólica S.A.,SC,-26.589317460244114,-51.72773895299997
1779,3.0,178.0,120.0,116.0,2022-10-24 15:37:27,30461,Atlântica IV,IV-03,True,Atlântica IV Parque Eólico S.A.,RS,-30.296293816177563,-50.33156869099998
1780,2.3,139.0,98.0,82.0,2022-10-24 15:37:27,30660,Juremas,JUR-04,True,SPE Juremas Energia S.A.,RN,-5.384655903823403,-35.852863836999965
1781,2.0,149.38,108.0,82.0,2022-10-24 15:37:27,30349,Cerro Chato II,AEG 2,True,Eletrosul Centrais Elétricas S.A.,RS,-30.860651253168626,-55.710171109999976
1782,3.15,182.5,120.0,125.0,2021-03-16 10:10:08,33022,Ventos de Santa Angela 18,VSA18-03,True,"Enel Green Power Brasil Participações Ltda., Enel Green Power Desenvolvimento Ltda.",PI,-8.744676710716032,-41.40101585999997
1783,1.62,130.0,80.0,100.0,2022-10-24 15:37:27,30889,Morro dos Ventos II,4,True,Desa Morro dos Ventos II S.A.,RN,-5.368905984823938,-35.835661795999954
1784,2.625,177.0,120.0,114.0,2022-10-24 15:37:27,31642,União dos Ventos 15,UV15-07,True,SM Geração de Energia Eólica Ltda.,RN,-5.2936929348263755,-35.75584591399996
1785,2.625,177.0,120.0,114.0,2022-10-24 15:37:27,31652,União dos Ventos 16,UV16-02,True,Ventos Parazinhenses Geradora Eólica S.A.,RN,-5.266660692827232,-35.76511928299993
1786,1.62,130.0,80.0,100.0,2022-10-24 15:37:27,30889,Morro dos Ventos II,3,True,Desa Morro dos Ventos II S.A.,RN,-5.370947290823844,-35.83776275699995
